"period","sex","raceEthnicity","foreign","majorCauses","age","deaths","pop","ASDR","logASDR","ASDR.SD","coefOfVar"
"2017-2019","Female","White","US-Born","Total","65-100",2504145,62364915.95896223,3694.1901556669836,8.214516636333858,0.25602010342196274,0.006930344476968011
"2017-2019","Female","White","Total","All other causes","65-100",407704,66442571,567.2404054515787,6.340783209372487,0.1144962379517091,0.02018478177000789
"2017-2019","Female","White","Total","Alzheimer's disease and dementia","65-100",446736,66442571,582.7381694112237,6.367737976399151,0.08425156285161525,0.014457876156754895
"2017-2019","Female","White","Total","COVID-19","65-100",0,66442571,0,NA,0,NA
"2017-2019","Female","White","Total","Circulatory diseases","65-100",879353,66442571,1183.0167003707586,7.075822980844727,0.14087839410765088,0.011908402819968598
"2017-2019","Female","White","Total","Diabetes","65-100",55753,66442571,79.32830091615915,4.373594949161427,0.04694120866586127,0.059173344347148826
"2017-2019","Female","White","Total","External Causes","65-100",80325,66442571,110.76165171164772,4.70738061071999,0.04964470726844796,0.044821205264878976
"2017-2019","Female","White","Total","Malignant Neoplasm","65-100",487317,66442571,707.3221565291434,6.561486229055543,0.1439274282175082,0.0203482143022022
"2017-2019","Female","White","Total","Respiratory diseases","65-100",313442,66442571,438.23631943763263,6.082758306970995,0.1032327345613305,0.023556407806136208
"2017-2019","Female","White","Total","Total","65-100",2670630,66442571,3668.6437038281438,8.207577309753779,0.24712218930283025,0.0067360640403690344
"2017-2019","Female","Hispanic","Foreign-Born","All other causes","65-100",15786,4187875.571827428,377.36032678545746,5.933200504953629,0.3811869242804883,0.10101404340186676
"2017-2019","Female","Hispanic","Foreign-Born","Alzheimer's disease and dementia","65-100",13796,4187875.571827428,330.8018248485808,5.801519479605242,0.2434047423883943,0.07358022964347578
"2017-2019","Female","Hispanic","Foreign-Born","COVID-19","65-100",0,4187875.571827428,0,NA,0,NA
"2017-2019","Female","Hispanic","Foreign-Born","Circulatory diseases","65-100",34927,4187875.571827428,836.1282090020082,6.728781961376501,0.48015590987334783,0.05742611057776123
"2017-2019","Female","Hispanic","Foreign-Born","Diabetes","65-100",4847,4187875.571827428,115.80087273398135,4.751872101673373,0.22249008959547037,0.19213161726904798
"2017-2019","Female","Hispanic","Foreign-Born","External Causes","65-100",2199,4187875.571827428,52.58796620173095,3.962487314134884,0.1419358156191285,0.26990170160727117
"2017-2019","Female","Hispanic","Foreign-Born","Malignant Neoplasm","65-100",20007,4187875.571827428,477.80977348263787,6.169212689857552,0.46777612540616864,0.09790007475080796
"2017-2019","Female","Hispanic","Foreign-Born","Respiratory diseases","65-100",8471,4187875.571827428,202.67072451234145,5.3115826153624575,0.2543471950691236,0.1254977479757494
"2017-2019","Female","Hispanic","Foreign-Born","Total","65-100",100033,4187875.571827428,2393.1596975667385,7.7803698209790975,0.8237928644916259,0.034422812039214226
"2017-2019","Female","Hispanic","US-Born","All other causes","65-100",16073,3304939.428172572,482.8028576595503,6.179608408136162,0.5022510019996481,0.10402817506805473
"2017-2019","Female","Hispanic","US-Born","Alzheimer's disease and dementia","65-100",14869,3304939.428172572,438.2209734664375,6.082723288787403,0.3402868219061042,0.07765187941926885
"2017-2019","Female","Hispanic","US-Born","COVID-19","65-100",0,3304939.428172572,0,NA,0,NA
"2017-2019","Female","Hispanic","US-Born","Circulatory diseases","65-100",30396,3304939.428172572,905.525594147552,6.808515542133901,0.5994608548993066,0.06620032153410638
"2017-2019","Female","Hispanic","US-Born","Diabetes","65-100",4536,3304939.428172572,136.726315102505,4.917981227782336,0.28280838567197697,0.2068426882271733
"2017-2019","Female","Hispanic","US-Born","External Causes","65-100",2223,3304939.428172572,66.50808835501756,4.197323569664313,0.18376377926338658,0.2763029036144638
"2017-2019","Female","Hispanic","US-Born","Malignant Neoplasm","65-100",16228,3304939.428172572,489.7691591866475,6.19393417639974,0.5367880866351882,0.10960022217949049
"2017-2019","Female","Hispanic","US-Born","Respiratory diseases","65-100",8315,3304939.428172572,248.76826008742103,5.516521780731129,0.3424528573283541,0.13765938516754947
"2017-2019","Female","Hispanic","US-Born","Total","65-100",92640,3304939.428172572,2768.321248005131,7.925996367808696,1.0215967064374434,0.0369031125695261
"2017-2019","Female","Hispanic","Total","All other causes","65-100",31859,7492815,423.9313223541425,6.049571466532644,0.30717466130306015,0.07245859060313865
"2017-2019","Female","Hispanic","Total","Alzheimer's disease and dementia","65-100",28665,7492815,378.6971503125567,5.936736809958805,0.20203405969744667,0.05334977026647768
"2017-2019","Female","Hispanic","Total","COVID-19","65-100",0,7492815,0,NA,0,NA
"2017-2019","Female","Hispanic","Total","Circulatory diseases","65-100",65323,7492815,866.3666259926885,6.764308174622473,0.37662833290843845,0.04347216543306885
"2017-2019","Female","Hispanic","Total","Diabetes","65-100",9383,7492815,125.01794934798242,4.8284573217774165,0.17607681096116873,0.14084122470371516
"2017-2019","Female","Hispanic","Total","External Causes","65-100",4422,7492815,58.772927236978354,4.073681327738399,0.11334796836969338,0.19285744933660182
"2017-2019","Female","Hispanic","Total","Malignant Neoplasm","65-100",36235,7492815,483.1708489894971,6.180370315722706,0.3527111517241444,0.07299926153694994
"2017-2019","Female","Hispanic","Total","Respiratory diseases","65-100",16786,7492815,222.95689813131105,5.406978470856389,0.20726348053424443,0.09296123253929378
"2017-2019","Female","Hispanic","Total","Total","65-100",192673,7492815,2558.9137223651564,7.847338120220235,0.6444679179168891,0.02518521481534045
"2017-2019","Female","Black","Foreign-Born","All other causes","65-100",3177,913852.1573946165,363.87556408832717,5.89681195229015,0.8039613975427667,0.22094404705549645
"2017-2019","Female","Black","Foreign-Born","Alzheimer's disease and dementia","65-100",2506,913852.1573946165,299.1345932903857,5.700893616889815,0.5460697043577806,0.1825498342907074
"2017-2019","Female","Black","Foreign-Born","COVID-19","65-100",0,913852.1573946165,0,NA,0,NA
"2017-2019","Female","Black","Foreign-Born","Circulatory diseases","65-100",9040,913852.1573946165,1051.594571073881,6.958062930303299,1.2064459732877713,0.11472539003845911
"2017-2019","Female","Black","Foreign-Born","Diabetes","65-100",1209,913852.1573946165,138.30261612766884,4.929444154816232,0.5019993849190809,0.3629717202570334
"2017-2019","Female","Black","Foreign-Born","External Causes","65-100",388,913852.1573946165,43.55823799555467,3.7740988471904973,0.30020837858355615,0.6892114842069458
"2017-2019","Female","Black","Foreign-Born","Malignant Neoplasm","65-100",4901,913852.1573946165,546.3536640271608,6.303266502367765,1.088830704765914,0.199290455332571
"2017-2019","Female","Black","Foreign-Born","Respiratory diseases","65-100",1404,913852.1573946165,162.43791620839357,5.090295874666336,0.5086768661104413,0.31315155844393716
"2017-2019","Female","Black","Foreign-Born","Total","65-100",22625,913852.1573946165,2605.257162811372,7.8652866682445834,1.8881137500518592,0.07247321980354397
"2017-2019","Female","Black","US-Born","All other causes","65-100",52119,7759773.842605383,675.7723741576508,6.51585629471964,0.38438650320375517,0.05688106201187824
"2017-2019","Female","Black","US-Born","Alzheimer's disease and dementia","65-100",39917,7759773.842605383,518.6320633199831,6.2511946978805755,0.24980377265323542,0.0481658945368969
"2017-2019","Female","Black","US-Born","COVID-19","65-100",0,7759773.842605383,0,NA,0,NA
"2017-2019","Female","Black","US-Born","Circulatory diseases","65-100",109677,7759773.842605383,1422.8565444554142,7.260421780959779,0.5094155546747061,0.03580231307645146
"2017-2019","Female","Black","US-Born","Diabetes","65-100",13732,7759773.842605383,178.12743720018508,5.182499233456665,0.21012638313181353,0.1179640747290756
"2017-2019","Female","Black","US-Born","External Causes","65-100",5353,7759773.842605383,69.26116663493971,4.237884383113956,0.12934605888754805,0.18675119864685866
"2017-2019","Female","Black","US-Born","Malignant Neoplasm","65-100",59420,7759773.842605383,769.5241245169635,6.645772303686742,0.44275475675737225,0.05753617627456358
"2017-2019","Female","Black","US-Born","Respiratory diseases","65-100",23565,7759773.842605383,305.72050837697964,5.722671313257573,0.26405724246156526,0.08637210629519168
"2017-2019","Female","Black","US-Born","Total","65-100",303783,7759773.842605383,3939.894218662116,8.278909153876263,0.7854099027845484,0.01993479670251789
"2017-2019","Female","Black","Total","All other causes","65-100",55296,8673626,643.6038121636869,6.467083338288515,0.35416065281193393,0.055027743173444825
"2017-2019","Female","Black","Total","Alzheimer's disease and dementia","65-100",42423,8673626,497.0039409542831,6.20859795555067,0.2307985817852653,0.0464379782063932
"2017-2019","Female","Black","Total","COVID-19","65-100",0,8673626,0,NA,0,NA
"2017-2019","Female","Black","Total","Circulatory diseases","65-100",118717,8673626,1384.1490136723346,7.232840799220134,0.47320283576608857,0.03418727543724627
"2017-2019","Female","Black","Total","Diabetes","65-100",14941,8673626,173.8430935445225,5.158153131144892,0.19520860817454866,0.11229011414511804
"2017-2019","Female","Black","Total","External Causes","65-100",5741,8673626,66.6251617424201,4.199082310136647,0.11991460748609797,0.17998396454135523
"2017-2019","Female","Black","Total","Malignant Neoplasm","65-100",64321,8673626,746.2615866302718,6.6150761910590035,0.41235084750956724,0.055255537052567395
"2017-2019","Female","Black","Total","Respiratory diseases","65-100",24969,8673626,290.7686326213533,5.672527874027651,0.24215898727915108,0.08328236271430867
"2017-2019","Female","Black","Total","Total","65-100",326408,8673626,3802.255241328872,8.243349654232395,0.7314612137338503,0.019237562112695193
"2017-2019","Female","Asian","Foreign-Born","All other causes","65-100",10607,3722160.130917175,295.51344264698565,5.688714327002613,0.34096377467477695,0.11538012336111739
"2017-2019","Female","Asian","Foreign-Born","Alzheimer's disease and dementia","65-100",8644,3722160.130917175,246.8232564176138,5.508672519429673,0.21399064393717734,0.08669792589362602
"2017-2019","Female","Asian","Foreign-Born","COVID-19","65-100",0,3722160.130917175,0,NA,0,NA
"2017-2019","Female","Asian","Foreign-Born","Circulatory diseases","65-100",25278,3722160.130917175,710.6508118165735,6.566181186542172,0.46702777910993254,0.06571832063571573
"2017-2019","Female","Asian","Foreign-Born","Diabetes","65-100",3288,3722160.130917175,91.4956752957357,4.516291706636994,0.1935511930035948,0.21154135687614906
"2017-2019","Female","Asian","Foreign-Born","External Causes","65-100",2105,3722160.130917175,58.353027553247344,4.066511243474744,0.15926852294168375,0.27293960505536863
"2017-2019","Female","Asian","Foreign-Born","Malignant Neoplasm","65-100",15366,3722160.130917175,420.9414026102455,6.042493637796142,0.4600359844445014,0.10928741663134857
"2017-2019","Female","Asian","Foreign-Born","Respiratory diseases","65-100",5969,3722160.130917175,167.95465209627386,5.12369401496777,0.23200878927515217,0.13813775705489933
"2017-2019","Female","Asian","Foreign-Born","Total","65-100",71257,3722160.130917175,1991.7322684366754,7.596760025716355,0.7915993033653534,0.03974426261551133
"2017-2019","Female","Asian","US-Born","All other causes","65-100",2087,546392.869082825,316.0469186628046,5.755890679346353,0.9981466200270711,0.31582229127568534
"2017-2019","Female","Asian","US-Born","Alzheimer's disease and dementia","65-100",2925,546392.869082825,351.93045612944394,5.863433588264926,0.6033425334504392,0.1714379994519494
"2017-2019","Female","Asian","US-Born","COVID-19","65-100",0,546392.869082825,0,NA,0,NA
"2017-2019","Female","Asian","US-Born","Circulatory diseases","65-100",5424,546392.869082825,762.4496754383729,6.636536506878424,1.3643029941364075,0.1789367925629973
"2017-2019","Female","Asian","US-Born","Diabetes","65-100",491,546392.869082825,81.71122781111822,4.403191419732358,0.5694570174747559,0.6969140382899391
"2017-2019","Female","Asian","US-Born","External Causes","65-100",412,546392.869082825,60.4563130568487,4.101921005964385,0.42263321812012056,0.6990721014076845
"2017-2019","Female","Asian","US-Born","Malignant Neoplasm","65-100",2741,546392.869082825,457.9655143829811,6.126793885172263,1.3301210771685212,0.29044131826401803
"2017-2019","Female","Asian","US-Born","Respiratory diseases","65-100",1416,546392.869082825,200.22580000934224,5.299445729753479,0.720577180956389,0.3598822833634666
"2017-2019","Female","Asian","US-Born","Total","65-100",15496,546392.869082825,2230.785905490912,7.710109226354374,2.300822864881624,0.10313956436690411
"2017-2019","Female","Asian","Total","All other causes","65-100",12694,4268553,297.7207141662131,5.6961558462736415,0.3228937624774828,0.10845525592055914
"2017-2019","Female","Asian","Total","Alzheimer's disease and dementia","65-100",11569,4268553,268.4993113305021,5.592848349068543,0.20170038605878737,0.07512137929117801
"2017-2019","Female","Asian","Total","COVID-19","65-100",0,4268553,0,NA,0,NA
"2017-2019","Female","Asian","Total","Circulatory diseases","65-100",30702,4268553,717.5805013188165,6.575885138300191,0.44216753718915025,0.061619224097715274
"2017-2019","Female","Asian","Total","Diabetes","65-100",3779,4268553,88.72163427805175,4.485503763499728,0.18340237638133555,0.2067166344192402
"2017-2019","Female","Asian","Total","External Causes","65-100",2517,4268553,59.02347440463737,4.077935236040976,0.14907413378087137,0.25256753399315113
"2017-2019","Female","Asian","Total","Malignant Neoplasm","65-100",18107,4268553,425.62809236995,6.053565942357442,0.4349723033348935,0.10219539338038373
"2017-2019","Female","Asian","Total","Respiratory diseases","65-100",7385,4268553,172.74392455860212,5.151810293048741,0.22151134507705297,0.12823104815006495
"2017-2019","Female","Asian","Total","Total","65-100",86753,4268553,2029.9176524267727,7.61575050590603,0.7490213938693302,0.036899102432745134
"2017-2019","Male","White","Foreign-Born","All other causes","65-100",20491,2971808.696649811,676.7278530701826,6.517269202536214,0.5943127890025758,0.08782153509808918
"2017-2019","Male","White","Foreign-Born","Alzheimer's disease and dementia","65-100",12318,2971808.696649811,401.4806338503264,5.995159297728668,0.34735495230943164,0.08651848259234515
"2017-2019","Male","White","Foreign-Born","COVID-19","65-100",0,2971808.696649811,0,NA,0,NA
"2017-2019","Male","White","Foreign-Born","Circulatory diseases","65-100",48899,2971808.696649811,1610.754865440228,7.384458208619639,0.8321951090615451,0.051664913570452053
"2017-2019","Male","White","Foreign-Born","Diabetes","65-100",3746,2971808.696649811,124.36206730973812,4.823197208643072,0.27952907973762287,0.2247703707284178
"2017-2019","Male","White","Foreign-Born","External Causes","65-100",5581,2971808.696649811,185.24766797167578,5.22169367555,0.3304270939002537,0.17837044726024606
"2017-2019","Male","White","Foreign-Born","Malignant Neoplasm","65-100",31106,2971808.696649811,1032.1160475033969,6.939366388850777,0.7845287936702879,0.07601168449691273
"2017-2019","Male","White","Foreign-Born","Respiratory diseases","65-100",13266,2971808.696649811,437.1363124120717,6.080245074172666,0.4694017555809193,0.10738109423827326
"2017-2019","Male","White","Foreign-Born","Total","65-100",135407,2971808.696649811,4467.82544755762,8.4046570921828,1.292699530266661,0.02893352807624407
"2017-2019","Male","White","US-Born","All other causes","65-100",360820,51640027.30335019,741.631446170251,6.608852416494852,0.14770165110922667,0.019915775129540538
"2017-2019","Male","White","US-Born","Alzheimer's disease and dementia","65-100",204230,51640027.30335019,444.5683335798393,6.09710377447673,0.08970751909721629,0.020178567010127782
"2017-2019","Male","White","US-Born","COVID-19","65-100",0,51640027.30335019,0,NA,0,NA
"2017-2019","Male","White","US-Born","Circulatory diseases","65-100",769438,51640027.30335019,1607.105866047302,7.382190241630687,0.19780119732942628,0.012307913343376746
"2017-2019","Male","White","US-Born","Diabetes","65-100",65401,51640027.30335019,131.58083213776877,4.879621355834304,0.06856084206313205,0.052105493596017814
"2017-2019","Male","White","US-Born","External Causes","65-100",96414,51640027.30335019,196.73637554765375,5.28186463736563,0.07944756620964684,0.040382753818905714
"2017-2019","Male","White","US-Born","Malignant Neoplasm","65-100",522094,51640027.30335019,1046.3516248812643,6.95306474958963,0.18772917603085482,0.017941308788253427
"2017-2019","Male","White","US-Born","Respiratory diseases","65-100",271843,51640027.30335019,560.0839650587645,6.328086710094612,0.1286001106305531,0.02296086277297017
"2017-2019","Male","White","US-Born","Total","65-100",2290240,51640027.30335019,4728.058443422843,8.461269920139578,0.31172421700035513,0.006593070300008489
"2017-2019","Male","White","Total","All other causes","65-100",381311,54611836,737.7075285264262,6.60354744324204,0.1433398471338191,0.01943044385356091
"2017-2019","Male","White","Total","Alzheimer's disease and dementia","65-100",216548,54611836,441.8907096223741,6.0910625882052924,0.08688581843459843,0.019662286747066555
"2017-2019","Male","White","Total","COVID-19","65-100",0,54611836,0,NA,0,NA
"2017-2019","Male","White","Total","Circulatory diseases","65-100",818337,54611836,1607.1540164852186,7.382220202143949,0.19240148219248449,0.011971564655219468
"2017-2019","Male","White","Total","Diabetes","65-100",69147,54611836,131.1556903030722,4.876385093119067,0.06657864762135814,0.0507630644675114
"2017-2019","Male","White","Total","External Causes","65-100",101995,54611836,195.96904424942778,5.277956709254157,0.07722315541259184,0.039405792740563064
"2017-2019","Male","White","Total","Malignant Neoplasm","65-100",553200,54611836,1045.4847413081225,6.952235924126243,0.18255801591207446,0.017461566744977626
"2017-2019","Male","White","Total","Respiratory diseases","65-100",285109,54611836,552.86159790211,6.315107695156918,0.12424946513210752,0.022473882361080035
"2017-2019","Male","White","Total","Total","65-100",2425647,54611836,4712.223328396752,8.457915119878223,0.3030170046120996,0.006430446595900106
"2017-2019","Male","Hispanic","Foreign-Born","All other causes","65-100",14444,3184201.8808634155,493.83529532171616,6.202202051314431,0.5132193909042733,0.1039252146953022
"2017-2019","Male","Hispanic","Foreign-Born","Alzheimer's disease and dementia","65-100",7085,3184201.8808634155,270.2728357621456,5.599431951606845,0.2857727762218766,0.10573492353237147
"2017-2019","Male","Hispanic","Foreign-Born","COVID-19","65-100",0,3184201.8808634155,0,NA,0,NA
"2017-2019","Male","Hispanic","Foreign-Born","Circulatory diseases","65-100",31139,3184201.8808634155,1098.734179506438,7.001914050266772,0.697682509275676,0.06349875359198179
"2017-2019","Male","Hispanic","Foreign-Born","Diabetes","65-100",4806,3184201.8808634155,160.44909129494044,5.077976704061738,0.3128333145680179,0.1949735657854004
"2017-2019","Male","Hispanic","Foreign-Born","External Causes","65-100",3212,3184201.8808634155,107.06910970231732,4.673474511036302,0.25140134439886164,0.23480287180665751
"2017-2019","Male","Hispanic","Foreign-Born","Malignant Neoplasm","65-100",21632,3184201.8808634155,724.7117624604799,6.585774006783131,0.645836316066148,0.08911630106201938
"2017-2019","Male","Hispanic","Foreign-Born","Respiratory diseases","65-100",8218,3184201.8808634155,292.84534436374196,5.679644634727134,0.3708752255255795,0.1266454231435269
"2017-2019","Male","Hispanic","Foreign-Born","Total","65-100",90536,3184201.8808634155,3147.9176184117796,8.05449643969416,1.1149765703630508,0.03541949649005079
"2017-2019","Male","Hispanic","US-Born","All other causes","65-100",15643,2584157.1191365845,650.6667905051521,6.477997668630451,0.6619140867428586,0.10172858003540867
"2017-2019","Male","Hispanic","US-Born","Alzheimer's disease and dementia","65-100",7536,2584157.1191365845,349.41799769209814,5.856268906654109,0.37064573742352264,0.10607517067570459
"2017-2019","Male","Hispanic","US-Born","COVID-19","65-100",0,2584157.1191365845,0,NA,0,NA
"2017-2019","Male","Hispanic","US-Born","Circulatory diseases","65-100",29747,2584157.1191365845,1274.8104268914235,7.150552761746807,0.8497650091683867,0.06665814706587443
"2017-2019","Male","Hispanic","US-Born","Diabetes","65-100",4797,2584157.1191365845,197.2245103842174,5.284342726454139,0.3846443305938014,0.19502866547594278
"2017-2019","Male","Hispanic","US-Born","External Causes","65-100",3205,2584157.1191365845,131.363689275422,4.87796973053676,0.30845844218626933,0.2348125603716442
"2017-2019","Male","Hispanic","US-Born","Malignant Neoplasm","65-100",18776,2584157.1191365845,769.7129392658723,6.646017639190023,0.743007091346018,0.09653041457958009
"2017-2019","Male","Hispanic","US-Born","Respiratory diseases","65-100",8156,2584157.1191365845,350.2361689876646,5.858607695465714,0.466446485415409,0.1331805583539938
"2017-2019","Male","Hispanic","US-Born","Total","65-100",87860,2584157.1191365845,3723.4325230018503,8.2224012430587,1.3367492549005058,0.03590099314658217
"2017-2019","Male","Hispanic","Total","All other causes","65-100",30087,5768359,564.1771927428986,6.33536837368648,0.4101427993055569,0.07269751499728974
"2017-2019","Male","Hispanic","Total","Alzheimer's disease and dementia","65-100",14621,5768359,305.8940484448501,5.723238795082824,0.22883316204305393,0.07480798113151602
"2017-2019","Male","Hispanic","Total","COVID-19","65-100",0,5768359,0,NA,0,NA
"2017-2019","Male","Hispanic","Total","Circulatory diseases","65-100",60886,5768359,1177.6844562661304,7.071305464378923,0.5415781098397043,0.04598669082861019
"2017-2019","Male","Hispanic","Total","Diabetes","65-100",9603,5768359,176.94695057142565,5.175849973364795,0.24387947398463972,0.13782632206831752
"2017-2019","Male","Hispanic","Total","External Causes","65-100",6417,5768359,117.98072055984461,4.770521226030805,0.1957934417735962,0.16595375994019448
"2017-2019","Male","Hispanic","Total","Malignant Neoplasm","65-100",40408,5768359,744.9562783662623,6.613325529900729,0.4877931317931678,0.0654794309355886
"2017-2019","Male","Hispanic","Total","Respiratory diseases","65-100",16374,5768359,318.57207522521185,5.763848745251716,0.292500679548239,0.0918161704353585
"2017-2019","Male","Hispanic","Total","Total","65-100",178396,5768359,3406.2117221766225,8.133356020822283,0.8595596967772859,0.025235063668561795
"2017-2019","Male","Black","Foreign-Born","All other causes","65-100",3420,655979.846553028,589.4470592754492,6.379184909796095,1.2955889101560487,0.2197973320536355
"2017-2019","Male","Black","Foreign-Born","Alzheimer's disease and dementia","65-100",1434,655979.846553028,289.44550954137566,5.6679670566419365,0.7636812397219254,0.263842835541644
"2017-2019","Male","Black","Foreign-Born","COVID-19","65-100",0,655979.846553028,0,NA,0,NA
"2017-2019","Male","Black","Foreign-Born","Circulatory diseases","65-100",8420,655979.846553028,1490.4270660372536,7.306817979372922,1.9174192401126504,0.12864898147687853
"2017-2019","Male","Black","Foreign-Born","Diabetes","65-100",1180,655979.846553028,199.0743109344455,5.293678176801064,0.7924335721054798,0.39805918121018924
"2017-2019","Male","Black","Foreign-Born","External Causes","65-100",704,655979.846553028,112.43613537397152,4.722385374885319,0.6037905366909143,0.5370075507154874
"2017-2019","Male","Black","Foreign-Born","Malignant Neoplasm","65-100",5147,655979.846553028,862.8858290565387,6.760282386916251,1.605195120157432,0.18602636248094592
"2017-2019","Male","Black","Foreign-Born","Respiratory diseases","65-100",1595,655979.846553028,286.5574497149081,5.657939038617956,0.8793408413955535,0.3068637169511374
"2017-2019","Male","Black","Foreign-Born","Total","65-100",21900,655979.846553028,3830.273359933942,8.250691452978634,2.7750040811115406,0.07244924370513856
"2017-2019","Male","Black","US-Born","All other causes","65-100",43787,5227722.153446972,922.8330148967633,6.8274483025308434,0.5511270814738713,0.05972121419339614
"2017-2019","Male","Black","US-Born","Alzheimer's disease and dementia","65-100",18196,5227722.153446972,450.7958367954707,6.1110145469753965,0.3156178160301776,0.07001347179108393
"2017-2019","Male","Black","US-Born","COVID-19","65-100",0,5227722.153446972,0,NA,0,NA
"2017-2019","Male","Black","US-Born","Circulatory diseases","65-100",91613,5227722.153446972,1959.6769096723312,7.580534896632714,0.7533415908813024,0.038442132331255825
"2017-2019","Male","Black","US-Born","Diabetes","65-100",11903,5227722.153446972,244.30757693443124,5.498427992659662,0.3032656834352832,0.12413273760914731
"2017-2019","Male","Black","US-Born","External Causes","65-100",8247,5227722.153446972,163.5204774309664,5.096938226720999,0.24961771386371165,0.1526522658112303
"2017-2019","Male","Black","US-Born","Malignant Neoplasm","65-100",61766,5227722.153446972,1259.305015763536,7.138315272981345,0.659124222259005,0.05234031580977766
"2017-2019","Male","Black","US-Born","Respiratory diseases","65-100",21937,5227722.153446972,472.24019152025807,6.1574877364893945,0.39547173736353053,0.08374376947680144
"2017-2019","Male","Black","US-Born","Total","65-100",257449,5227722.153446972,5472.679023013758,8.607523542066842,1.0808023069200694,0.01974905347774043
"2017-2019","Male","Black","Total","All other causes","65-100",47207,5883702,885.9355667671744,6.786644224221501,0.5110301681459698,0.057682543439445136
"2017-2019","Male","Black","Total","Alzheimer's disease and dementia","65-100",19630,5883702,433.0960567966101,6.070959543576525,0.293659358744094,0.06780467153548844
"2017-2019","Male","Black","Total","COVID-19","65-100",0,5883702,0,NA,0,NA
"2017-2019","Male","Black","Total","Circulatory diseases","65-100",100033,5883702,1907.4047775486797,7.553498841885662,0.7028858332271679,0.03685037604500963
"2017-2019","Male","Black","Total","Diabetes","65-100",13083,5883702,239.23866045257617,5.47746163298235,0.2835071012024811,0.11850388255232695
"2017-2019","Male","Black","Total","External Causes","65-100",8951,5883702,157.7683794892635,5.061128004867582,0.2317047808990713,0.14686389100855238
"2017-2019","Male","Black","Total","Malignant Neoplasm","65-100",66913,5883702,1215.1964640053202,7.102661041472623,0.6127167705002324,0.050421210779424214
"2017-2019","Male","Black","Total","Respiratory diseases","65-100",23532,5883702,451.8120664991053,6.113266311289269,0.3653102610830395,0.08085447206261431
"2017-2019","Male","Black","Total","Total","65-100",279349,5883702,5290.4519715587285,8.573658960060637,1.0104454509977299,0.01909941639069491
"2017-2019","Male","Asian","Foreign-Born","All other causes","65-100",9785,2802651.146996678,387.02891857822914,5.958499415246352,0.45693865978455417,0.11806318283996506
"2017-2019","Male","Asian","Foreign-Born","Alzheimer's disease and dementia","65-100",4180,2802651.146996678,184.20320778846886,5.216039538373529,0.23022563325568407,0.12498459501316904
"2017-2019","Male","Asian","Foreign-Born","COVID-19","65-100",0,2802651.146996678,0,NA,0,NA
"2017-2019","Male","Asian","Foreign-Born","Circulatory diseases","65-100",22314,2802651.146996678,896.1051383872011,6.798057748040904,0.6556371504612358,0.07316520376629504
